Musteri_Memnuniyeti,Maliyet,Oy_Sayisi,Mutfak_Turu,Rezervasyon,Online_Teslimat,Maliyet_Kategori
9.6,1100,314,"French, Japanese, Desserts",Yes,No,Pahalı
9.0,1200,591,Japanese,Yes,No,Pahalı
8.8,4000,270,"Seafood, Asian, Filipino, Indian",Yes,No,Pahalı
9.8,1500,365,"Japanese, Sushi",No,No,Pahalı
9.6,1500,229,"Japanese, Korean",Yes,No,Pahalı
8.8,1000,336,Chinese,No,No,Pahalı
8.0,2000,520,"Asian, European",Yes,No,Pahalı
8.4,2000,677,"Seafood, Filipino, Asian, European",Yes,No,Pahalı
9.8,6000,621,"European, Asian, Indian",Yes,No,Pahalı
9.6,1100,532,Filipino,Yes,No,Pahalı
9.8,800,1070,"Filipino, Mexican",No,No,Pahalı
8.4,900,488,"American, Ice Cream, Desserts",Yes,No,Pahalı
9.6,800,294,"Filipino, Mexican",No,No,Pahalı
8.4,1000,458,Filipino,Yes,No,Pahalı
8.6,700,223,Korean,No,No,Pahalı
7.2,800,29,"Cafe, American, Italian, Filipino",No,No,Pahalı
8.0,850,72,"Italian, Pizza",No,No,Pahalı
9.0,1200,211,Filipino,Yes,No,Pahalı
9.0,600,118,"Cafe, Korean, Desserts",No,No,Orta
8.8,1500,392,"Cafe, Bakery, American, Italian",Yes,No,Pahalı
9.4,3000,535,"Seafood, American, Mediterranean, Japanese",Yes,No,Pahalı
9.0,1800,618,"American, Asian, Italian, Seafood",Yes,No,Pahalı
6.0,55,6,"Fast Food, French",No,No,Ekonomik
7.6,30,9,Cafe,No,No,Ekonomik
7.4,45,11,Bakery,No,No,Ekonomik
7.6,60,11,Brazilian,No,No,Ekonomik
6.4,50,11,Pizza,No,No,Ekonomik
6.2,80,10,Japanese,No,No,Ekonomik
7.4,90,8,Arabian,No,No,Ekonomik
7.4,200,5,Japanese,No,No,Ekonomik
0.0,30,2,"Brazilian, Cafe",No,No,Ekonomik
8.2,150,12,Italian,No,No,Ekonomik
6.2,100,9,Pizza,No,No,Ekonomik
7.2,60,9,"Bar Food, Brazilian",No,No,Ekonomik
8.6,100,29,"Mexican, Grill",No,No,Ekonomik
8.4,230,17,International,No,No,Ekonomik
7.2,100,5,"Peruvian, Latin American",No,No,Ekonomik
8.0,150,10,"American, Grill",No,No,Ekonomik
6.4,240,6,Seafood,No,No,Ekonomik
9.8,230,30,International,No,No,Ekonomik
6.6,350,8,Italian,No,No,Orta
7.2,50,9,"American, Burger",No,No,Ekonomik
8.0,140,7,"Seafood, Bar Food, Brazilian",No,No,Ekonomik
9.6,100,29,"Desserts, Cafe",No,No,Ekonomik
9.4,60,24,"Juices, Healthy Food",No,No,Ekonomik
9.0,90,29,"Beverages, Bar Food, Fast Food",No,No,Ekonomik
8.4,170,11,Lebanese,No,No,Ekonomik
9.6,60,19,Burger,No,No,Ekonomik
9.8,100,40,"Brazilian, Bar Food",No,No,Ekonomik
9.2,90,21,"Brazilian, Healthy Food, Juices, Pizza",No,No,Ekonomik
9.8,120,49,"Brazilian, Bar Food",No,No,Ekonomik
9.2,170,21,Brazilian,No,No,Ekonomik
8.6,90,14,Brazilian,No,No,Ekonomik
8.0,150,5,Italian,No,No,Ekonomik
9.2,250,25,Japanese,No,No,Ekonomik
8.8,120,13,"Bakery, Sandwich, Brazilian",No,No,Ekonomik
8.4,40,7,Brazilian,No,No,Ekonomik
8.4,250,8,"Brazilian, Seafood",No,No,Ekonomik
0.0,70,1,"Bar Food, Brazilian",No,No,Ekonomik
9.4,300,44,Brazilian,No,No,Ekonomik
9.2,85,24,"Brazilian, Bar Food",No,No,Ekonomik
8.6,80,10,"Brazilian, Bar Food",No,No,Ekonomik
9.0,250,49,"Italian, Pizza",No,No,Ekonomik
8.8,250,17,"Steak, BBQ",No,No,Ekonomik
6.2,70,5,Indian,No,No,Ekonomik
8.2,100,15,Brazilian,No,No,Ekonomik
9.6,300,59,"Beverages, International",No,No,Ekonomik
9.2,120,30,"French, Brazilian, Beverages",No,No,Ekonomik
7.8,75,5,"Brazilian, Grill",No,No,Ekonomik
